data,evento,eh_feriado,vespera_feriado,eh_reuniao_impacto,tem_refeicao,eh_evento_especial,etapa
2023-01-01,DOMINGO,0,0,0,0,0,0
2023-01-02,DIA LETIVO PADRAO,0,1,0,0,0,0
2023-01-03,"PRIMEIRO SEMESTRE 1 09 - REVOLUÇÃO /MOVIMENTO CONSTITUCIONALISTA DE 1932 - LEI ESTADUAL Nº 9.497, DE 05/03/1997 (FERIADO ESTADUAL) 2 3 4 5 6 7 8 10 A 24 - FÉRIAS DOCENTES E DISCENTES (15 DIAS CORRIDOS) - PORTARIA Nº 2.791, DE 08 DE DEZEMBRO DE 2010 9 10 11 12 13 14 15 25 E 26 - RETORNO ÀS ATIVIDADES / PLANEJAMENTO PEDAGÓGICO E REUNIÕES ADMINISTRATIVAS 16 17 18 19 20 21 22 27 - INÍCIO DO 3º BIMESTRE 23 24 25 26 27 28 29 30 31 DIAS 1 0 0 1 1 0 ACUMULADO 1 0 0 1 1 0 DIAS LETIVOS NO MÊS 3 DIAS LETIVOS ACUMULADOS NO SEMESTRE 3 DIAS LETIVOS ACUMULADOS NO ANO 107 ATIVIDADES / EVENTOS",1,1,0,0,0,3
2023-01-04,"PRIMEIRO SEMESTRE 1 09 - REVOLUÇÃO /MOVIMENTO CONSTITUCIONALISTA DE 1932 - LEI ESTADUAL Nº 9.497, DE 05/03/1997 (FERIADO ESTADUAL) 2 3 4 5 6 7 8 10 A 24 - FÉRIAS DOCENTES E DISCENTES (15 DIAS CORRIDOS) - PORTARIA Nº 2.791, DE 08 DE DEZEMBRO DE 2010 9 10 11 12 13 14 15 25 E 26 - RETORNO ÀS ATIVIDADES / PLANEJAMENTO PEDAGÓGICO E REUNIÕES ADMINISTRATIVAS 16 17 18 19 20 21 22 27 - INÍCIO DO 3º BIMESTRE 23 24 25 26 27 28 29 30 31 DIAS 1 0 0 1 1 0 ACUMULADO 1 0 0 1 1 0 DIAS LETIVOS NO MÊS 3 DIAS LETIVOS ACUMULADOS NO SEMESTRE 3 DIAS LETIVOS ACUMULADOS NO ANO 107 ATIVIDADES / EVENTOS",1,1,0,0,0,3
2023-01-05,"PRIMEIRO SEMESTRE 1 09 - REVOLUÇÃO /MOVIMENTO CONSTITUCIONALISTA DE 1932 - LEI ESTADUAL Nº 9.497, DE 05/03/1997 (FERIADO ESTADUAL) 2 3 4 5 6 7 8 10 A 24 - FÉRIAS DOCENTES E DISCENTES (15 DIAS CORRIDOS) - PORTARIA Nº 2.791, DE 08 DE DEZEMBRO DE 2010 9 10 11 12 13 14 15 25 E 26 - RETORNO ÀS ATIVIDADES / PLANEJAMENTO PEDAGÓGICO E REUNIÕES ADMINISTRATIVAS 16 17 18 19 20 21 22 27 - INÍCIO DO 3º BIMESTRE 23 24 25 26 27 28 29 30 31 DIAS 1 0 0 1 1 0 ACUMULADO 1 0 0 1 1 0 DIAS LETIVOS NO MÊS 3 DIAS LETIVOS ACUMULADOS NO SEMESTRE 3 DIAS LETIVOS ACUMULADOS NO ANO 107 ATIVIDADES / EVENTOS",1,1,0,0,0,3
2023-01-06,"PRIMEIRO SEMESTRE 1 09 - REVOLUÇÃO /MOVIMENTO CONSTITUCIONALISTA DE 1932 - LEI ESTADUAL Nº 9.497, DE 05/03/1997 (FERIADO ESTADUAL) 2 3 4 5 6 7 8 10 A 24 - FÉRIAS DOCENTES E DISCENTES (15 DIAS CORRIDOS) - PORTARIA Nº 2.791, DE 08 DE DEZEMBRO DE 2010 9 10 11 12 13 14 15 25 E 26 - RETORNO ÀS ATIVIDADES / PLANEJAMENTO PEDAGÓGICO E REUNIÕES ADMINISTRATIVAS 16 17 18 19 20 21 22 27 - INÍCIO DO 3º BIMESTRE 23 24 25 26 27 28 29 30 31 DIAS 1 0 0 1 1 0 ACUMULADO 1 0 0 1 1 0 DIAS LETIVOS NO MÊS 3 DIAS LETIVOS ACUMULADOS NO SEMESTRE 3 DIAS LETIVOS ACUMULADOS NO ANO 107 ATIVIDADES / EVENTOS",1,1,0,0,0,3
2023-01-07,"PRIMEIRO SEMESTRE 1 09 - REVOLUÇÃO /MOVIMENTO CONSTITUCIONALISTA DE 1932 - LEI ESTADUAL Nº 9.497, DE 05/03/1997 (FERIADO ESTADUAL) 2 3 4 5 6 7 8 10 A 24 - FÉRIAS DOCENTES E DISCENTES (15 DIAS CORRIDOS) - PORTARIA Nº 2.791, DE 08 DE DEZEMBRO DE 2010 9 10 11 12 13 14 15 25 E 26 - RETORNO ÀS ATIVIDADES / PLANEJAMENTO PEDAGÓGICO E REUNIÕES ADMINISTRATIVAS 16 17 18 19 20 21 22 27 - INÍCIO DO 3º BIMESTRE 23 24 25 26 27 28 29 30 31 DIAS 1 0 0 1 1 0 ACUMULADO 1 0 0 1 1 0 DIAS LETIVOS NO MÊS 3 DIAS LETIVOS ACUMULADOS NO SEMESTRE 3 DIAS LETIVOS ACUMULADOS NO ANO 107 ATIVIDADES / EVENTOS",1,0,0,0,0,3
2023-01-08,DOMINGO,0,0,0,0,0,3
2023-01-09,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-10,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-11,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-12,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-13,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-14,SABADO,0,0,0,0,0,3
2023-01-15,DOMINGO,0,0,0,0,0,3
2023-01-16,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-17,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-18,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-19,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-20,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-21,SABADO,0,0,0,0,0,3
2023-01-22,DOMINGO,0,0,0,0,0,3
2023-01-23,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-24,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-25,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-26,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-27,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-28,SABADO,0,0,0,0,0,3
2023-01-29,DOMINGO,0,0,0,0,0,3
2023-01-30,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-01-31,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-01,"REUNIÃO COM AS FAMÍLIAS 1 2 3 4 5 18 - PRAZO MÁXIMO PARA CANCELAMENTO DE MATRÍCULA DAS DISCIPLINAS OPTATIVAS NO 2º SEM. (LIBRAS E ESPANHOL) 6 7 8 9 10 11 12 26 - SÁBADO LETIVO - ATIVIDADES PEDAGÓGICAS PROGRAMADAS/ REPOSIÇÃO DE AULAS DE 6ª FEIRA 13 14 15 16 17 18 19 30 - REUNIÃO COM A EQUIPE DE FORMAÇÃO DO CAMPUS 20 21 22 23 24 25 26 27 28 29 30 31 DIAS 4 5 5 5 4 1 ACUMULADO 5 5 5 6 5 1 DIAS LETIVOS NO MÊS 24 DIAS LETIVOS ACUMULADOS NO SEMESTRE 27 DIAS LETIVOS ACUMULADOS NO ANO 131 ATIVIDADES / EVENTOS",0,0,1,1,0,3
2023-02-02,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-03,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-04,SABADO,0,0,0,0,0,3
2023-02-05,DOMINGO,0,0,0,0,0,3
2023-02-06,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-07,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-08,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-09,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-10,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-11,SABADO,0,0,0,0,0,3
2023-02-12,DOMINGO,0,0,0,0,0,3
2023-02-13,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-14,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-15,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-16,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-17,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-18,SABADO,0,0,0,0,0,3
2023-02-19,DOMINGO,0,0,0,0,0,3
2023-02-20,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-21,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-22,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-23,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-24,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-25,SABADO,0,0,0,0,0,3
2023-02-26,DOMINGO,0,0,0,0,0,3
2023-02-27,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-02-28,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-01,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-02,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-03,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-04,SABADO,0,0,0,0,0,3
2023-03-05,DOMINGO,0,0,0,0,0,3
2023-03-06,DIA LETIVO PADRAO,0,1,0,1,0,3
2023-03-07,"INDEPENDÊNCIA DO BRASIL - LEI FEDERAL Nº 10.607, DE 19/12/2002 (FERIADO FEDERAL) 1 2 08– ANIVERSÁRIO DE ITAQUAQUECETUBA - (FERIADO MUNICIPAL) 3 4 5 6 7 8 9 22 - ATIVIDADES ALUSIVAS AO ANIVERSÁRIO DO IFSP 10 11 12 13 14 15 16 23 - SÁBADO LETIVO - ATIVIDADES PEDAGÓGICAS PROGRAMADAS/ REPOSIÇÃO DE AULAS DE 6ª FEIRA 17 18 19 20 21 22 23 27 - REUNIÃO COM A EQUIPE DE FORMAÇÃO DO CAMPUS 24 25 26 27 28 29 30 DIAS 4 4 4 3 4 1 ACUMULADO 9 9 9 9 9 2 DIAS LETIVOS NO MÊS 20 DIAS LETIVOS ACUMULADOS NO SEMESTRE 47 DIAS LETIVOS ACUMULADOS NO ANO 151 ATIVIDADES / EVENTOS",1,0,0,0,0,3
2023-03-08,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-09,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-10,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-11,SABADO,0,0,0,0,0,3
2023-03-12,DOMINGO,0,0,0,0,0,3
2023-03-13,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-14,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-15,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-16,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-17,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-18,SABADO,0,0,0,0,0,3
2023-03-19,DOMINGO,0,0,0,0,0,3
2023-03-20,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-21,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-22,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-23,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-24,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-25,SABADO,0,0,0,0,0,3
2023-03-26,DOMINGO,0,0,0,0,0,3
2023-03-27,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-28,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-29,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-30,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-03-31,DIA LETIVO PADRAO,0,0,0,1,0,3
2023-04-01,SABADO,0,0,0,0,0,3
2023-04-02,DOMINGO,0,0,0,0,0,3
2023-04-03,DIA LETIVO PADRAO,0,1,0,1,0,3
2023-04-04,"ENCERRAMENTO DO 3º BIMESTRE E PRAZO FINAL PARA REGISTRO DAS NOTAS E ENTREGA DOS DIÁRIOS NO SISTEMA ACADÊMICO 1 2 3 4 5 6 7 10 E 11 - CONSELHOS DE CLASSE - 3° BIMESTRE 8 9 10 11 12 13 14 12 - NOSSA SENHORA APARECIDA - LEI FEDERAL Nº 6.802, DE 30/06/1980 (FERIADO FEDERAL) 15 16 17 18 19 20 21 13 - RECESSO ACADÊMICO 22 23 24 25 26 27 28 15 - DIA DO PROFESSOR – DECRETO FEDERAL Nº 52.682, DE 14/10/1963 29 30 31 16 A 18 - SEMANA NACIONAL DE CIÊNCIA E TECNOLOGIA (PREVISÃO DE ATIVIDADES)",1,0,1,0,1,3
2023-04-05,DIA LETIVO PADRAO,0,0,0,1,0,1
2023-04-06,DIA LETIVO PADRAO,0,0,0,1,0,1
2023-04-07,DIA LETIVO PADRAO,0,0,0,1,0,1
2023-04-08,SABADO,0,0,0,0,0,1
2023-04-09,DOMINGO,0,0,0,0,0,1
2023-04-10,DIA LETIVO PADRAO,0,0,0,1,0,1
2023-04-11,DIA LETIVO PADRAO,0,0,0,1,0,1
2023-04-12,DIA LETIVO PADRAO,0,0,0,1,0,1
2023-04-13,DIA LETIVO PADRAO,0,0,0,1,0,1
2023-04-14,DIA LETIVO PADRAO,0,0,0,1,0,1
2023-04-15,SABADO,0,0,0,0,0,1
2023-04-16,DOMINGO,0,0,0,0,0,1
2023-04-17,DIA LETIVO PADRAO,0,0,0,1,0,1
2023-04-18,DIA LETIVO PADRAO,0,1,0,1,0,1
2023-04-19,"EVENTO ""CAMPUS DE PORTAS ABERTAS"" DIAS 5 5 4 3 3 1 21 - SÁBADO LETIVO - ATIVIDADES PEDAGÓGICAS PROGRAMADAS/ REPOSIÇÃO DE AULAS DE 6ª FEIRA ACUMULADO 14 14 13 12 12 3 25 - REUNIÃO COM A EQUIPE DE FORMAÇÃO DO CAMPUS DIAS LETIVOS NO MÊS 21 26 - REUNIÃO COM AS FAMÍLIAS DIAS LETIVOS ACUMULADOS NO SEMESTRE 68 28 - DIA DO SERVIDOR PÚBLICO – ART. 236 DA LEI Nº 8.112, DE 11/12/1990 / (FERIADO FEDERAL / PONTO FACULTATIVO) DIAS LETIVOS ACUMULADOS NO ANO 172 ATIVIDADES / EVENTOS",1,0,1,0,0,1
2023-04-20,DIA LETIVO PADRAO,0,0,0,1,0,1
2023-04-21,DIA LETIVO PADRAO,0,0,0,1,0,0
2023-04-22,SABADO,0,0,0,0,0,2
2023-04-23,DOMINGO,0,0,0,0,0,2
2023-04-24,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-04-25,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-04-26,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-04-27,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-04-28,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-04-29,SABADO,0,0,0,0,0,2
2023-04-30,DOMINGO,0,0,0,0,0,2
2023-05-01,DIA LETIVO PADRAO,0,1,0,1,0,2
2023-05-02,"FINADOS - LEI FEDERAL Nº 10.607, DE 19/12/2002 (FERIADO FEDERAL) 1 2 3 4 03 - RECESSO 5 6 7 8 9 10 11 11 - SÁBADO LETIVO - ATIVIDADES PEDAGÓGICAS PROGRAMADAS/ REPOSIÇÃO DE AULAS DE 5ª FEIRA 12 13 14 15 16 17 18 15 - PROCLAMAÇÃO DA REPÚBLICA- LEI FEDERAL Nº 10.607, DE 19/12/2002 (FERIADO FEDERAL) 19 20 21 22 23 24 25 20 - DIA NACIONAL DA CONSCIÊNCIA NEGRA (QUANDO COMPREENDER FERIADO NO MUNICÍPIO) 26 27 28 29 30 21 A 24 - SEMANA DA CONSCIÊNCIA NEGRA (PREVISÃO DE ATIVIDADES)",1,0,0,0,1,2
2023-05-03,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-04,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-05,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-06,SABADO,0,0,0,0,0,2
2023-05-07,DOMINGO,0,0,0,0,0,2
2023-05-08,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-09,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-10,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-11,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-12,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-13,SABADO,0,0,0,0,0,2
2023-05-14,DOMINGO,0,0,0,0,0,2
2023-05-15,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-16,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-17,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-18,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-19,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-20,SABADO,0,0,0,0,0,2
2023-05-21,DOMINGO,0,0,0,0,0,2
2023-05-22,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-23,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-24,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-25,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-26,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-27,SABADO,0,0,0,0,0,2
2023-05-28,DOMINGO,0,0,0,0,0,2
2023-05-29,"REUNIÃO COM A EQUIPE DE FORMAÇÃO DO CAMPUS DIAS 3 4 4 4 3 1 ACUMULADO 17 18 17 16 15 4 DIAS LETIVOS NO MÊS 19 DIAS LETIVOS ACUMULADOS NO SEMESTRE 87 DIAS LETIVOS ACUMULADOS NO ANO 191 ATIVIDADES / EVENTOS",0,0,0,1,0,2
2023-05-30,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-05-31,SEMANA DA CULTURA E DA DIVERSIDADE (PREVISÃO DE ATIVIDADES) / SEMANA DA CULTURA E DA DIVERSIDADE (PREVISÃO DE ATIVIDADES)/ 03,0,0,0,1,1,2
2023-06-01,SEMANA DA CULTURA E DA DIVERSIDADE (PREVISÃO DE ATIVIDADES) / SEMANA DA CULTURA E DA DIVERSIDADE (PREVISÃO DE ATIVIDADES)/ 03,0,0,0,1,1,2
2023-06-02,SEMANA DA CULTURA E DA DIVERSIDADE (PREVISÃO DE ATIVIDADES) / SEMANA DA CULTURA E DA DIVERSIDADE (PREVISÃO DE ATIVIDADES)/ 03,0,0,0,1,1,2
2023-06-03,SEMANA DA CULTURA E DA DIVERSIDADE (PREVISÃO DE ATIVIDADES) / SEMANA DA CULTURA E DA DIVERSIDADE (PREVISÃO DE ATIVIDADES)/ 03,0,0,0,0,1,2
2023-06-04,DOMINGO,0,0,0,0,0,2
2023-06-05,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-06,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-07,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-08,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-09,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-10,SABADO,0,0,0,0,0,2
2023-06-11,DOMINGO,0,0,0,0,0,2
2023-06-12,DIA LETIVO PADRAO,0,1,0,1,0,2
2023-06-13,"ENCERRAMENTO DO 4º BIMESTRE E ANO LETIVO/ PRAZO MÁXIMO PARA A ENTREGA DAS NOTAS E DIÁRIOS 1 2 14 A 18 - PERÍODO RESERVADO PARA REAVALIAÇÃO 3 4 5 6 7 8 9 15 - PRAZO FINAL PARA REGISTRO DAS NOTAS E ENTREGA DOS DIÁRIOS NO SISTEMA ACADÊMICO APÓS AS REAVALIAÇÕES 10 11 12 13 14 15 16 21 E 22 - PERÍODO RESERVADO PARA CONSELHOS DE CLASSE DELIBERATIVOS 17 18 19 20 21 22 23 25 - NATAL - LEI FEDERAL Nº 10.607, DE 19/12/2002 (FERIADO FEDERAL) 24 25 26 27 28 29 30 23 A 31 - RECESSO ESCOLAR E ADMINISTRATIVO 31 DIAS 2 2 2 1 2 0 ACUMULADO 19 20 19 17 17 4 DIAS LETIVOS NO MÊS 9 DIAS LETIVOS ACUMULADOS NO SEMESTRE 96 DIAS LETIVOS ACUMULADOS NO ANO 200",1,0,1,0,0,2
2023-06-14,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-15,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-16,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-17,SABADO,0,0,0,0,0,2
2023-06-18,DOMINGO,0,0,0,0,0,2
2023-06-19,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-20,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-21,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-22,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-23,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-24,SABADO,0,0,0,0,0,2
2023-06-25,DOMINGO,0,0,0,0,0,2
2023-06-26,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-27,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-28,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-29,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-06-30,DIA LETIVO PADRAO,0,0,0,1,0,2
2023-07-01,SABADO,0,0,0,0,0,2
2023-07-02,DOMINGO,0,0,0,0,0,2
